id,code,area_group,district,level_from,level_to,category,name,name_short,area,url,status,yml,json
12,905,Oahu,,,,Private,Assets School 9-12,Assets School 9-12,,,,"---
:site_contact:
  :street: 1 Ohana Nui Way
  :city: Honolulu
  :state: HI
  :postal_code: ""96818""
  :phone: 423-1356
  :fax:
  :principal_last_name: Travis
  :principal_first_name: Susan
",
13,906,Oahu,,,,Private,Assets School K-8,Assets School K-8,,,,"---
:site_contact:
  :street: 1 Ohana Nui Way
  :city: Honolulu
  :state: HI
  :postal_code: ""96818""
  :phone: 423-1356
  :fax:
  :principal_last_name: Bridgewater Borg
  :principal_first_name: Jyo
",
14,250,Oahu,Leeward,K,6,DOE,August Ahrens Elementary,August Ahrens El,Pearl City-Waipahu,,,"---
:site_contact:
  :street: 94-1170 Waipahu Street
  :city: Waipahu
  :state: HI
  :postal_code: ""96797""
  :phone: 675-0202
  :fax: 675-0216
  :principal_last_name: Smith
  :principal_first_name: Florentina
",
15,400,Maui,Maui,9,12,DOE,Henry Perrine Baldwin High,Baldwin High,Baldwin-Kekaulike-Maui,,,"---
:site_contact:
  :street: 1650 Kaahumanu Avenue
  :city: Wailuku
  :state: HI
  :postal_code: ""96793""
  :phone: 984-5656
  :fax: 984-5674
  :principal_last_name: Davis
  :principal_first_name: Jacquelyn
",
16,251,Oahu,Leeward,K,5,DOE,Barbers Point Elementary,Barbers Point El,Campbell-Kapolei,,,"---
:site_contact:
  :street: 3001 Boxer Road
  :city: Kapolei
  :state: HI
  :postal_code: ""96707""
  :phone: 673-7400
  :fax: 673-7403
  :principal_last_name: Nakachi
  :principal_first_name: Claudia
",
17,252,Oahu,Leeward,9,12,DOE,James Campbell High,Campbell High,Campbell-Kapolei,,,"---
:site_contact:
  :street: 91-980 North Road
  :city: Ewa Beach
  :state: HI
  :postal_code: ""96706""
  :phone: 689-1200
  :fax: 689-1242
  :principal_last_name: Takamori
  :principal_first_name: Naomi
",
18,301,Oahu,Windward,9,12,DOE,James B. Castle High,Castle High,Castle-Kahuku,,,"---
:site_contact:
  :street: 45-386 Kaneohe Bay Drive
  :city: Kaneohe
  :state: HI
  :postal_code: ""96744""
  :phone: 233-5600
  :fax: 233-5623
  :principal_last_name: Maeda
  :principal_first_name: Meredith
",
19,104,Oahu,Honolulu,6,8,DOE,Central Middle,Central Middle,Kaimuki-McKinley-Roosevelt,,,"---
:site_contact:
  :street: 1302 Queen Emma Street
  :city: Honolulu
  :state: HI
  :postal_code: ""96813""
  :phone: 587-4400
  :fax: 587-4409
  :principal_last_name: Yun-Kim
  :principal_first_name: Cindy
",
20,396,Hawaii,Hawaii,K,10,Charter,Connections New Century Public Charter School,Connections NCPCS,Hilo-Laupahoehoe-Waiakea,,,"---
:site_contact:
  :street: 174 Kamehameha Avenue
  :city: Hilo
  :state: HI
  :postal_code:
  :phone: 961-3664
  :fax: 961-2665
  :principal_last_name: Thatcher II
  :principal_first_name: John
",
21,351,Hawaii,Hawaii,K,6,DOE,Ernest Bowen DeSilva Elementary,DeSilva El,Hilo-Laupahoehoe-Waiakea,,,"---
:site_contact:
  :street: 278 Ainako Avenue
  :city: Hilo
  :state: HI
  :postal_code: ""96720""
  :phone: 974-4855
  :fax: 974-4858
  :principal_last_name: O'Brien
  :principal_first_name: Dennis
",
22,105,Oahu,Honolulu,6,8,DOE,Governor Sanford B. Dole Middle,Dole Middle,Farrington-Kaiser-Kalani,,,"---
:site_contact:
  :street: 1803 Kamehameha IV Road
  :city: Honolulu
  :state: HI
  :postal_code: ""96819""
  :phone: 832-3340
  :fax: 832-3349
  :principal_last_name: Kikkawa
  :principal_first_name: Arnie
",
23,907,Oahu,,,,Private,Easter Seals,Easter Seals,,,,"---
:site_contact:
  :street: 710 Green Street
  :city: Honolulu
  :state: HI
  :postal_code: ""96813""
  :phone: 536-1015
  :fax:
  :principal_last_name: Kawakami
  :principal_first_name: Norman
",
24,543,Oahu,Honolulu,K,12,Charter,Education Laboratory New Century Public Charter School,Educ Lab a Hawaii NCPCS,Kaimuki-McKinley-Roosevelt,,,"---
:site_contact:
  :street: 1776 University Avenue, UHS Bldg 3, Room 121
  :city: Honolulu
  :state: HI
  :postal_code: ""96822""
  :phone: 956-7833
  :fax: 956-7260
  :principal_last_name: Jeremiah
  :principal_first_name: Keoni
",
25,451,Kauai,Kauai,K,5,DOE,'Ele'ele Elementary,Eleele El,Kapaa-Kauai-Waimea,,,"---
:site_contact:
  :street: PO Box 38
  :city: Eleele
  :state: HI
  :postal_code: ""96705""
  :phone: 335-2111
  :fax: 335-8415
  :principal_last_name: Rose
  :principal_first_name: Fred
",
26,302,Oahu,Windward,K,6,DOE,Enchanted Lake Elementary,Enchanted Lake El,Kailua-Kalaheo,,,"---
:site_contact:
  :street: 770 Keolu Drive
  :city: Kailua
  :state: HI
  :postal_code: ""96734""
  :phone: 266-7800
  :fax: 266-7804
  :principal_last_name: McElhaney
  :principal_first_name: Pua'ala
",
27,254,Oahu,Leeward,K,6,DOE,'Ewa Beach Elementary,Ewa Beach El,Campbell-Kapolei,,,"---
:site_contact:
  :street: 91-740 Papipi Road
  :city: Ewa Beach
  :state: HI
  :postal_code: ""96706""
  :phone: 689-1271
  :fax: 689-1275
  :principal_last_name: Kobayashi
  :principal_first_name: Sherry Lee
",
28,253,Oahu,Leeward,K,6,DOE,'Ewa Elementary,Ewa El,Campbell-Kapolei,,,"---
:site_contact:
  :street: 91-1280 Renton Road
  :city: Ewa Beach
  :state: HI
  :postal_code: ""96706""
  :phone: 681-8202
  :fax: 681-8206
  :principal_last_name: Tamashiro
  :principal_first_name: Stanley
",
29,296,Oahu,Leeward,7,8,DOE,Ewa Makai Middle,Ewa Makai Middle,Campbell-Kapolei,,,"---
:site_contact:
  :street: 91-6291 Kapolei Parkway
  :city: Ewa Beach
  :state: HI
  :postal_code: ""96706""
  :phone: 687-9500
  :fax: 685-2052
  :principal_last_name: Oshiro
  :principal_first_name: Edward
",
30,106,Oahu,Honolulu,9,12,DOE,Governor Wallace Rider Farrington High,Farrington High,Farrington-Kaiser-Kalani,,,"---
:site_contact:
  :street: 1564 North King Street
  :city: Honolulu
  :state: HI
  :postal_code: ""96817""
  :phone: 832-3600
  :fax: 832-3587
  :principal_last_name: Carganilla
  :principal_first_name: Alfredo
",
31,107,Oahu,Honolulu,K,5,DOE,Mayor Joseph J. Fern Elementary,Fern El,Farrington-Kaiser-Kalani,,,"---
:site_contact:
  :street: 1121 Middle Street
  :city: Honolulu
  :state: HI
  :postal_code: ""96819""
  :phone: 832-3040
  :fax: 832-3043
  :principal_last_name: Uli'i
  :principal_first_name: Tiare
",
32,352,Hawaii,Hawaii,K,6,DOE,Ha'aheo Elementary,Haaheo El,Hilo-Laupahoehoe-Waiakea,,,"---
:site_contact:
  :street: 121 Haaheo Road
  :city: Hilo
  :state: HI
  :postal_code: ""96720""
  :phone: 974-4111
  :fax: 974-4112
  :principal_last_name: Bennett
  :principal_first_name: Brad
",
33,108,Oahu,Honolulu,K,5,DOE,Haha'ione Elementary,Hahaione El,Farrington-Kaiser-Kalani,,,"---
:site_contact:
  :street: 595 Pepeekeo Street
  :city: Honolulu
  :state: HI
  :postal_code: ""96825""
  :phone: 397-5822
  :fax: 397-5827
  :principal_last_name: Giorgis
  :principal_first_name: Lucinda
",
34,401,Maui,Maui,K,5,DOE,Ha'iku Elementary,Haiku El,Baldwin-Kekaulike-Maui,,,"---
:site_contact:
  :street: 105 Pauwela Road
  :city: Haiku
  :state: HI
  :postal_code: ""96708""
  :phone: 575-3000
  :fax: 575-3003
  :principal_last_name: Takahata
  :principal_first_name: Bernice
",
35,546,Oahu,Windward,5,12,Charter,Hakipu'u Learning Center New Century Public Charter School,Hakipuu Learning Ctr PCS,Castle-Kahuku,,,"---
:site_contact:
  :street: 45-720 Kea'ahala Road (WCC Haloa Bldg)
  :city: Kane`ohe
  :state: HI
  :postal_code: ""96744""
  :phone: 235-9155
  :fax: 235-9160
  :principal_last_name: Hoe
  :principal_first_name: Charlene
",
36,540,Oahu,Honolulu,6,12,Charter,Halau Ku Mana New Century Public Charter School,Halau Ku Mana NCPCS,Kaimuki-McKinley-Roosevelt,,,"---
:site_contact:
  :street: 2101 Makiki Heights Drive
  :city: Honolulu
  :state: HI
  :postal_code: ""96822""
  :phone: 945-1600
  :fax: 945-1604
  :principal_last_name: Cronin
  :principal_first_name: Patti
",
37,542,Oahu,Honolulu,K,12,Charter,Halau Lokahi New Century Public Charter School,Halau Lokahi NCPCS,Kaimuki-McKinley-Roosevelt,,,"---
:site_contact:
  :street: 401 Waiakamilo Road, Unit 1A
  :city: Honolulu
  :state: HI
  :postal_code: ""96817""
  :phone: 832-3594
  :fax: 842-9800
  :principal_last_name: Allbrett
  :principal_first_name: Laara
",
38,207,Oahu,Central,K,5,DOE,Hale Kula Elementary,Hale Kula El,Leilehua-Mililani-Waialua,,,"---
:site_contact:
  :street: Waianae Ave & Ayers Ave
  :city: Wahiawa
  :state: HI
  :postal_code: ""96786""
  :phone: 622-6380
  :fax: 622-6382
  :principal_last_name: Iwase
  :principal_first_name: Jan
",
39,206,Oahu,Central,K,6,DOE,Hale'iwa Elementary,Haleiwa El,Leilehua-Mililani-Waialua,,,"---
:site_contact:
  :street: 66-505 Haleiwa Road
  :city: Haleiwa
  :state: HI
  :postal_code: ""96712""
  :phone: 637-8237
  :fax: 637-8240
  :principal_last_name: Wetzel
  :principal_first_name: Malaea
",
40,402,Maui,Maui,K,12,DOE,Hana High & Elementary (& 408-Ke'anae Elementary),Hana High & El,Hana-Lahainaluna-Lanai-Molokai,,,"---
:site_contact:
  :street: PO Box 128
  :city: Hana
  :state: HI
  :postal_code: ""96713""
  :phone: 248-4815
  :fax: 248-4819
  :principal_last_name: Paul
  :principal_first_name: Richard
",
41,908,Oahu,,,,Private,Hanahau�oli Elementary School,Hanahauoli El,,,,"---
:site_contact:
  :street: 1922 Makiki Street
  :city: Honolulu
  :state: HI
  :postal_code: ""96822""
  :phone: 949-6461
  :fax:
  :principal_last_name: Peters
  :principal_first_name: Robert
",
42,452,Kauai,Kauai,K,6,DOE,Hanalei Elementary,Hanalei El,Kapaa-Kauai-Waimea,,,"---
:site_contact:
  :street: P.O. Box 46     5-5415 Kuhio Highway
  :city: Hanalei
  :state: HI
  :postal_code: ""96714""
  :phone: 826-4300
  :fax: 826-4302
  :principal_last_name: Nakamura
  :principal_first_name: Corey
",
43,303,Oahu,Windward,K,6,DOE,Hau'ula Elementary,Hauula El,Castle-Kahuku,,,"---
:site_contact:
  :street: 54-046 Kamehameha Highway
  :city: Hauula
  :state: HI
  :postal_code: ""96717""
  :phone: 293-8925
  :fax: 293-8927
  :principal_last_name: Izumi
  :principal_first_name: Samuel
",
44,561,Hawaii,Hawaii,K,12,Charter,Hawai'i Academy of Arts & Science Public Charter School,Hawaii Academy of Arts & Science PCS,Kau-Keaau-Pahoa,,,"---
:site_contact:
  :street: P.O. Box 1494
  :city: Pahoa
  :state: HI
  :postal_code: ""96778""
  :phone: 965-3730
  :fax: 965-3733
  :principal_last_name: Hirakami
  :principal_first_name: Steven
",
45,909,Oahu,,,,Private,Hawaii Baptist Academy,Hawaii Baptist Academy,,,,"---
:site_contact:
  :street: 2429 Pali Highway
  :city: Honolulu
  :state: HI
  :postal_code: ""968167""
  :phone: 595-6301
  :fax:
  :principal_last_name: Hirae
  :principal_first_name: Marsha
",
46,470,Oahu,Honolulu,K,12,Special,Hawaii School for the Deaf and Blind,Hawaii School for the Deaf and Blind,Farrington-Kaiser-Kalani,,,"---
:site_contact:
  :street: 3440 Leahi Avenue
  :city: Honolulu
  :state: HI
  :postal_code: ""96815""
  :phone: 733-4999
  :fax: 733-4824
  :principal_last_name: Alfred
  :principal_first_name: Christina
",
47,551,Oahu,Leeward,K,11,Charter,Hawai'I Technology Academy Public Charter School,Hawaii Tech Acad PCS,Pearl City-Waipahu,,,"---
:site_contact:
  :street: 94-810 Moloalo Street
  :city: Waipahu
  :state: HI
  :postal_code: ""96797""
  :phone: 676-5444
  :fax: 676-5470
  :principal_last_name: Piontek
  :principal_first_name: Jeff
",
48,304,Oahu,Windward,K,6,DOE,He'eia Elementary,Heeia El,Castle-Kahuku,,,"---
:site_contact:
  :street: 46-202 Haiku Road
  :city: Kaneohe
  :state: HI
  :postal_code: ""96744""
  :phone: 233-5677
  :fax: 233-5679
  :principal_last_name: Uetake
  :principal_first_name: Dwight
",
49,208,Oahu,Central,K,5,DOE,Helemano Elementary,Helemano El,Leilehua-Mililani-Waialua,,,"---
:site_contact:
  :street: 1001 Ihi Ihi Avenue
  :city: Wahiawa
  :state: HI
  :postal_code: ""96786""
  :phone: 622-6336
  :fax: 622-6340
  :principal_last_name: Muh
  :principal_first_name: Ernest
",
50,209,Oahu,Central,K,6,DOE,Lt. Col. Horace Meek Hickam Elementary,Hickam El,Aiea-Moanalua-Radford,,,"---
:site_contact:
  :street: 825 Manzelman Circle
  :city: Honolulu
  :state: HI
  :postal_code: ""96818""
  :phone: 421-4148
  :fax: 421-4157
  :principal_last_name: Erickson
  :principal_first_name: John
",
51,255,Oahu,Leeward,7,8,DOE,Highlands Intermediate,Highlands Int,Pearl City-Waipahu,,,"---
:site_contact:
  :street: 1460 Hoolaulea Street
  :city: Pearl City
  :state: HI
  :postal_code: ""96782""
  :phone: 453-6480
  :fax: 453-6484
  :principal_last_name: Martinson
  :principal_first_name: Amy
",
52,355,Hawaii,Hawaii,9,12,DOE,Hilo High,Hilo High,Hilo-Laupahoehoe-Waiakea,,,"---
:site_contact:
  :street: 556 Waianuenue Avenue
  :city: Hilo
  :state: HI
  :postal_code: ""96720""
  :phone: 974-4021
  :fax: 974-4036
  :principal_last_name: Dircks
  :principal_first_name: Robert
",
53,356,Hawaii,Hawaii,7,8,DOE,Hilo Intermediate,Hilo Int,Hilo-Laupahoehoe-Waiakea,,,"---
:site_contact:
  :street: 587 Waianuenue Avenue
  :city: Hilo
  :state: HI
  :postal_code: ""96720""
  :phone: 974-4955
  :fax: 974-6184
  :principal_last_name: Kanehailua
  :principal_first_name: Esther
",
54,357,Hawaii,Hawaii,K,6,DOE,Hilo Union Elementary,Hilo Union El,Hilo-Laupahoehoe-Waiakea,,,"---
:site_contact:
  :street: 506 Waianuenue Avenue
  :city: Hilo
  :state: HI
  :postal_code: ""96720""
  :phone: 933-0900
  :fax: 933-0905
  :principal_last_name: Andrade-Spencer
  :principal_first_name: Patti
",
55,109,Oahu,Honolulu,K,5,DOE,Hokulani Elementary,Hokulani El,Kaimuki-McKinley-Roosevelt,,,"---
:site_contact: !ruby/hash:ActiveSupport::HashWithIndifferentAccess
  principal_last_name: Kiyonaga
  phone: 733-4789
  fax: 733-4792
  email: ''
  principal_first_name: Holly
  street: 2940 Kamakini Street
  city: Honolulu
  state: HI
  postal_code: '96816'
",
56,280,Oahu,Leeward,K,6,DOE,Holomua Elementary,Holomua El,Campbell-Kapolei,,,"---
:site_contact:
  :street: 91-1561 Keaunui Drive
  :city: Ewa Beach
  :state: HI
  :postal_code: ""96706""
  :phone: 685-9100
  :fax: 685-9191
  :principal_last_name: Yasui
  :principal_first_name: Gary
",
57,358,Hawaii,Hawaii,K,5,DOE,Holualoa Elementary,Holualoa El,Honokaa-Kealakehe-Kohala-Konawaena,,,"---
:site_contact:
  :street: 76-5957 Mamalahoa Highway
  :city: Holualoa
  :state: HI
  :postal_code: ""96725""
  :phone: 322-4800
  :fax: 322-4801
  :principal_last_name: O'Leary
  :principal_first_name: Lauren
",
58,910,Oahu,,,,Private,Holy Nativity School,Holy Nativity School,,,,"---
:site_contact:
  :street: 5286 Kalanianaole Highway
  :city: Honolulu
  :state: HI
  :postal_code: ""96821""
  :phone: 373-3232
  :fax:
  :principal_last_name: Whiting
  :principal_first_name: Robert
",
59,359,Hawaii,Hawaii,K,5,DOE,Honaunau Elementary,Honaunau El,Honokaa-Kealakehe-Kohala-Konawaena,,,"---
:site_contact:
  :street: 83-5360 Mamalahoa Highway
  :city: Captain Cook
  :state: HI
  :postal_code: ""96704""
  :phone: 328-2727
  :fax: 328-2729
  :principal_last_name: Bacon
  :principal_first_name: Sean
",
60,361,Hawaii,Hawaii,K,6,DOE,Honoka'a Elementary,Honokaa El,Honokaa-Kealakehe-Kohala-Konawaena,,,"---
:site_contact:
  :street: 45-534 Pakalana Street
  :city: Honokaa
  :state: HI
  :postal_code: ""96727""
  :phone: 775-8820
  :fax: 775-8828
  :principal_last_name: Matsumura
  :principal_first_name: Rachelle
",
61,360,Hawaii,Hawaii,7,12,DOE,Honoka'a High & Intermediate,Honokaa High & Int,Honokaa-Kealakehe-Kohala-Konawaena,,,"---
:site_contact:
  :street: 45-527 Pakalana Street
  :city: Honokaa
  :state: HI
  :postal_code: ""96727""
  :phone: 775-8800
  :fax: 775-8803
  :principal_last_name: Gray
  :principal_first_name: Glenn
",
62,276,Oahu,Leeward,K,6,DOE,Honowai Elementary,Honowai El,Pearl City-Waipahu,,,"---
:site_contact:
  :street: 94-600 Honowai Street
  :city: Waipahu
  :state: HI
  :postal_code: ""96797""
  :phone: 675-0165
  :fax: 675-0167
  :principal_last_name: Matsumura
  :principal_first_name: Kent
",
63,363,Hawaii,Hawaii,K,5,DOE,Ho'okena Elementary,Hookena El,Honokaa-Kealakehe-Kohala-Konawaena,,,"---
:site_contact:
  :street: 86-4355 Mamalahoa Highway
  :city: Captain Cook
  :state: HI
  :postal_code: ""96704""
  :phone: 328-2710
  :fax: 328-2712
  :principal_last_name: Crisafi
  :principal_first_name: Joyce
",
64,404,Maui,Maui,6,8,DOE,'Iao Intermediate,Iao Int,Baldwin-Kekaulike-Maui,,,"---
:site_contact:
  :street: 260 South Market Street
  :city: Wailuku
  :state: HI
  :postal_code: ""96793""
  :phone: 984-5610
  :fax: 984-5617
  :principal_last_name: Kilborn
  :principal_first_name: Catherine
",
65,210,Oahu,Central,K,5,DOE,'Iliahi Elementary,Iliahi El,Leilehua-Mililani-Waialua,,,"---
:site_contact:
  :street: 2035 California Avenue
  :city: Wahiawa
  :state: HI
  :postal_code: ""96786""
  :phone: 622-6411
  :fax: 622-6413
  :principal_last_name: Tanouye
  :principal_first_name: Dale
",
66,279,Oahu,Leeward,7,8,DOE,Ilima Intermediate,Ilima Int,Campbell-Kapolei,,,"---
:site_contact:
  :street: 91-884 Ft. Weaver Road
  :city: Ewa Beach
  :state: HI
  :postal_code: ""96706""
  :phone: 687-9300
  :fax: 689-1250
  :principal_last_name: Lee
  :principal_first_name: Jon Henry
",
67,548,Hawaii,Hawaii,1,8,Charter,Innovations Public Charter School,Innovations PCS,Honokaa-Kealakehe-Kohala-Konawaena,,,"---
:site_contact:
  :street: 75-5815 Queen Ka'ahumanu Highway
  :city: Kailua-Kona
  :state: HI
  :postal_code: ""96740""
  :phone: 1-808-327-6205
  :fax: 327-6209
  :principal_last_name: Hiro
  :principal_first_name: Jennifer
",
68,256,Oahu,Leeward,K,6,DOE,Iroquois Point Elementary,Iroquois Point El,Campbell-Kapolei,,,"---
:site_contact:
  :street: 5553 Cormorant Avenue
  :city: Ewa Beach
  :state: HI
  :postal_code: ""96706""
  :phone: 499-6500
  :fax: 499-6508
  :principal_last_name: Armstrong
  :principal_first_name: Heidi
",
69,911,Oahu,,,,Private,Island Pacific Academy,Island Pacific Academy,,,,"---
:site_contact:
  :street: 909 Haumea Street
  :city: Kapolei
  :state: HI
  :postal_code: ""96707""
  :phone: 674-3523 x586
  :fax:
  :principal_last_name: Miller
  :principal_first_name: Sue
",
70,110,Oahu,Honolulu,6,8,DOE,William P. Jarrett Middle,Jarrett Middle,Kaimuki-McKinley-Roosevelt,,,"---
:site_contact:
  :street: 1903 Palolo Avenue
  :city: Honolulu
  :state: HI
  :postal_code: ""96816""
  :phone: 733-4888
  :fax: 733-4894
  :principal_last_name: Gonsalves
  :principal_first_name: Eleanor
",
71,111,Oahu,Honolulu,K,5,DOE,President Thomas Jefferson Elementary,Jefferson El,Kaimuki-McKinley-Roosevelt,,,"---
:site_contact:
  :street: 324 Kapahulu Avenue
  :city: Honolulu
  :state: HI
  :postal_code: ""96815""
  :phone: 971-6922
  :fax: 971-6933
  :principal_last_name: Parker
  :principal_first_name: Scott
",
72,144,Oahu,Honolulu,K,6,Special,Jefferson School Orthopedic Unit,Jefferson Orthopedic Unit,Kaimuki-McKinley-Roosevelt,,,"---
:site_contact:
  :street: 324 Kapahulu Avenue
  :city: Honolulu
  :state: HI
  :postal_code: ""96815""
  :phone: 971-6931
  :fax: 971-6933
  :principal_last_name: Parker
  :principal_first_name: Scott
",
73,562,Hawaii,Hawaii,K,8,Charter,Ka 'Umeke Ka'eo Public Charter School,Ka 'Umeke Ka'eo PCS,Hilo-Laupahoehoe-Waiakea,,,"---
:site_contact:
  :street: 222 Desha Avenue
  :city: Hilo
  :state: HI
  :postal_code: ""96720""
  :phone: 933-3482
  :fax: 933-3488
  :principal_last_name: Makekau-Whittaker
  :principal_first_name: Leinani
",
74,545,Oahu,Leeward,K,8,Charter,Ka Waihona 'o ka Na'auao: New Century Public Charter School,Ka Waihona o ka Na`auao NCPCS,Nanakuli-Waianae,,,"---
:site_contact:
  :street: 89-195 Farrington Hwy
  :city: Wai'anae
  :state: HI
  :postal_code: ""96792""
  :phone: 620-9030
  :fax: 620-9036
  :principal_last_name: Parker
  :principal_first_name: Alvin
",
75,305,Oahu,Windward,K,6,DOE,Ka'a'awa Elementary,Kaaawa El,Castle-Kahuku,,,"---
:site_contact:
  :street: 51-296 Kamehameha Highway
  :city: Kaaawa
  :state: HI
  :postal_code: ""96730""
  :phone: 237-7751
  :fax: 237-7755
  :principal_last_name: Luke-Payne
  :principal_first_name: Jennifer
",
76,112,Oahu,Honolulu,K,5,DOE,Queen Ka'ahumanu Elementary,Kaahumanu El,Kaimuki-McKinley-Roosevelt,,,"---
:site_contact:
  :street: 1141 Kinau Street
  :city: Honolulu
  :state: HI
  :postal_code: ""96814""
  :phone: 587-4414
  :fax: 587-4415
  :principal_last_name: Kiyonaga
  :principal_first_name: Holly
",
77,211,Oahu,Central,K,5,DOE,Ka'ala Elementary,Kaala El,Leilehua-Mililani-Waialua,,,"---
:site_contact:
  :street: 130 California Avenue
  :city: Wahiawa
  :state: HI
  :postal_code: ""96786""
  :phone: 622-6366
  :fax: 622-6368
  :principal_last_name: Fisher
  :principal_first_name: Theodore
",
78,330,Oahu,Windward,K,6,DOE,Ka'elepulu Elementary,Kaelepulu El,Kailua-Kalaheo,,,"---
:site_contact:
  :street: 530 Keolu Drive
  :city: Kailua
  :state: HI
  :postal_code: ""96734""
  :phone: 266-7811
  :fax: 266-7813
  :principal_last_name: Udarbe
  :principal_first_name: Christine
",
79,113,Oahu,Honolulu,K,5,DOE,Ka'ewai Elementary,Kaewai El,Farrington-Kaiser-Kalani,,,"---
:site_contact:
  :street: 1929 Kam IV Road
  :city: Honolulu
  :state: HI
  :postal_code: ""96819""
  :phone: 832-3500
  :fax: 832-3509
  :principal_last_name: Carter
  :principal_first_name: Bert
",
80,371,Hawaii,Hawaii,K,5,DOE,Kahakai Elementary,Kahakai El,Honokaa-Kealakehe-Kohala-Konawaena,,,"---
:site_contact:
  :street: 76-147 Royal Poinciana Drive
  :city: Kailua-Kona
  :state: HI
  :postal_code: ""96740""
  :phone: 1-808-327-4313
  :fax: 327-4333
  :principal_last_name: Yamasawa
  :principal_first_name: Jessica
",
81,114,Oahu,Honolulu,K,5,DOE,Kahala Elementary,Kahala El,Farrington-Kaiser-Kalani,,,"---
:site_contact:
  :street: 4559 Kilauea Avenue
  :city: Honolulu
  :state: HI
  :postal_code: ""96816""
  :phone: 733-8455
  :fax: 733-4669
  :principal_last_name: Gardner
  :principal_first_name: Kinau
",
82,306,Oahu,Windward,K,6,DOE,Kahalu'u Elementary,Kahaluu El,Castle-Kahuku,,,"---
:site_contact:
  :street: 47-280 Waihee Road
  :city: Kaneohe
  :state: HI
  :postal_code: ""96744""
  :phone: 239-3101
  :fax: 239-3102
  :principal_last_name: Matsuzaki
  :principal_first_name: Naomi
",
